courseId;competenceId;code;description
course-1763202339961-p6oqu;sc_1bach_1;1.1;"Analizar conceptos anatómicos fisiológicos y biomecánicos  interpretando información en diferentes formatos."
course-1763202339961-p6oqu;sc_1bach_1;1.2;"Transmitir información de la función corporal y rendimiento de forma clara usando terminología y formatos adecuados."
course-1763202339961-p6oqu;sc_1bach_1;1.3;"Explicar la motricidad y la adaptación al esfuerzo representándolos mediante modelos (diseño de ingeniería)."
course-1763202339961-p6oqu;sc_1bach_2;2.1;"Resolver cuestiones de función corporal/salud localizando  organizando y analizando críticamente información de distintas fuentes (citación)."
course-1763202339961-p6oqu;sc_1bach_2;2.2;"Contrastar la veracidad de la información de salud/rendimiento adoptando una actitud crítica ante pseudociencias o bulos."
course-1763202339961-p6oqu;sc_1bach_2;2.3;"Valorar la contribución de la ciencia (investigación interdisciplinar) en el campo de la salud y el rendimiento."
course-1763202339961-p6oqu;sc_1bach_3;3.1;"Plantear preguntas hipótesis y predicciones sobre fenómenos de función corporal y rendimiento  contrastables con métodos científicos."
course-1763202339961-p6oqu;sc_1bach_3;3.2;"Diseñar experimentos y protocolos de toma de datos sobre fenómenos biológicos evitando sesgos."
course-1763202339961-p6oqu;sc_1bach_3;3.3;"Realizar experimentos y tomar datos de variables fisiológicas/biomecánicas con corrección y precisión."
course-1763202339961-p6oqu;sc_1bach_3;3.4;"Interpretar y analizar resultados de investigación (matemáticas/tecnología) obteniendo conclusiones fundamentadas."
course-1763202339961-p6oqu;sc_1bach_3;3.5;"Cooperar y colaborar en las fases de un proyecto científico (respetando diversidad e igualdad de género)."
course-1763202339961-p6oqu;sc_1bach_4;4.1;"Resolver problemas de función corporal/rendimiento (ej. ingesta nutricional riesgo de lesión) usando razonamiento lógico/computacional."
course-1763202339961-p6oqu;sc_1bach_4;4.2;"Analizar críticamente la solución a un problema reformulando procedimientos o conclusiones ante datos inesperados."
course-1763202339961-p6oqu;sc_1bach_5;5.1;"Identificar efectos de hábitos (posturales nutricionales  etc.) sobre los sistemas corporales y proponer alternativas saludables."
course-1763202339961-p6oqu;sc_1bach_5;5.2;"Proponer y adoptar hábitos saludables y sostenibles a partir del análisis crítico de las necesidades fisiológicas y los trastornos asociados."
course-1763202339961-p6oqu;sc_1bach_5;5.3;"Justificar la prevención de lesiones y la corrección postural aplicando estrategias de ergonomía  calentamiento y recuperación."
course-1763202339961-p6oqu;sc_1bach_6;6.1;"Explicar la interdependencia y coordinación de sistemas para mantener la homeostasis en situaciones funcionales."
course-1763202339961-p6oqu;sc_1bach_6;6.2;"Analizar la morfología y fisiología valorando la fragilidad de estructuras ante el estrés o malos hábitos."
course-1763202339961-p6oqu;sc_1bach_6;6.3;"Reflexionar sobre riesgos patológicos/lesionales (ej. disfonías) identificando causas y proponiendo medidas de prevención."
course-1763202324860-qjmy5;sc_bg3_1;1.1;"Analizar conceptos y procesos biológicos y geológicos interpretando información en diferentes formatos (modelos, gráficos, tablas, diagramas, fórmulas, esquemas, símbolos, páginas web, etc.), manteniendo una actitud crítica y obteniendo conclusiones fundamentadas."
course-1763202324860-qjmy5;sc_bg3_1;1.2;"Facilitar la comprensión y análisis de información sobre procesos biológicos y geológicos o trabajos científicos transmitiéndola de forma clara y utilizando la terminología y los formatos adecuados (modelos, gráficos, tablas, vídeos, informes, diagramas, fórmulas, esquemas, símbolos, contenidos digitales, etc.)."
course-1763202324860-qjmy5;sc_bg3_1;1.3;"Analizar y explicar fenómenos biológicos y geológicos representándolos mediante modelos y diagramas, utilizando, cuando sea necesario, los pasos del diseño de ingeniería (identificación del problema, exploración, diseño, creación, evaluación y mejora)."
course-1763202324860-qjmy5;sc_bg3_2;2.1;"Resolver cuestiones sobre Biología y Geología localizando, seleccionando y organizando información de distintas fuentes y citándolas correctamente."
course-1763202324860-qjmy5;sc_bg3_2;2.2;"Reconocer la información sobre temas biológicos y geológicos con base científica, distinguiéndola de pseudociencias, bulos, teorías conspiratorias y creencias infundadas y manteniendo una actitud escéptica ante estos."
course-1763202324860-qjmy5;sc_bg3_2;2.3;"Valorar la contribución de la ciencia a la sociedad y la labor de las personas dedicadas a ella con independencia de su etnia, sexo o cultura, destacando y reconociendo el papel de las mujeres científicas y entendiendo la investigación como una labor colectiva e interdisciplinar en constante evolución."
course-1763202324860-qjmy5;sc_bg3_3;3.1;"Plantear preguntas e hipótesis e intentar realizar predicciones sobre fenómenos biológicos o geológicos que puedan ser respondidas o contrastadas utilizando métodos científicos."
course-1763202324860-qjmy5;sc_bg3_3;3.2;"Diseñar la experimentación, la toma de datos y el análisis de fenómenos biológicos y geológicos de modo que permitan responder a preguntas concretas y contrastar una hipótesis planteada."
course-1763202324860-qjmy5;sc_bg3_3;3.3;"Realizar experimentos y tomar datos cuantitativos o cualitativos sobre fenómenos biológicos y geológicos utilizando los instrumentos, herramientas o técnicas adecuadas con corrección."
course-1763202324860-qjmy5;sc_bg3_3;3.4;"Interpretar los resultados obtenidos en un proyecto de investigación utilizando, cuando sea necesario, herramientas matemáticas y tecnológicas."
course-1763202324860-qjmy5;sc_bg3_3;3.5;"Cooperar dentro de un proyecto científico asumiendo responsablemente una función concreta, utilizando espacios virtuales cuando sea necesario, respetando la diversidad y la igualdad de género, y favoreciendo la inclusión."
course-1763202324860-qjmy5;sc_bg3_4;4.1;"Resolver problemas o dar explicación a procesos biológicos o geológicos utilizando conocimientos, datos e información proporcionados por la persona docente, el razonamiento lógico, el pensamiento computacional o recursos digitales."
course-1763202324860-qjmy5;sc_bg3_4;4.2;"Analizar críticamente la solución a un problema sobre fenómenos biológicos y geológicos."
course-1763202324860-qjmy5;sc_bg3_5;5.1;"Relacionar, con fundamentos científicos, la preservación de la biodiversidad, la conservación del medio ambiente, la protección de los seres vivos del entorno, el desarrollo sostenible y la calidad de vida."
course-1763202324860-qjmy5;sc_bg3_5;5.2;"Proponer y adoptar hábitos sostenibles, analizando de una manera crítica las actividades propias y ajenas a partir de los propios razonamientos, de los conocimientos adquiridos y de la información disponible."
course-1763202324860-qjmy5;sc_bg3_5;5.3;"Proponer y adoptar hábitos saludables, analizando las acciones propias y ajenas con actitud crítica y a partir de fundamentos fisiológicos."
course-1763202331493-vqzde;sc_bg4_1;1.1;"Analizar conceptos y procesos biológicos y geológicos interpretando información en diferentes formatos (modelos, gráficos, tablas, diagramas, fórmulas, esquemas, símbolos, páginas web, etc.), manteniendo una actitud crítica, obteniendo conclusiones y formando opiniones propias fundamentadas."
course-1763202331493-vqzde;sc_bg4_1;1.2;"Transmitir opiniones propias fundamentadas e información sobre Biología y Geología de forma clara y rigurosa, facilitando su comprensión y análisis mediante el uso de la terminología y el formato adecuados (modelos, gráficos, tablas, vídeos, informes, diagramas, fórmulas, esquemas, símbolos, contenidos digitales, etc.)."
course-1763202331493-vqzde;sc_bg4_1;1.3;"Analizar y explicar fenómenos biológicos y geológicos representándolos mediante el diseño y la realización de modelos y diagramas y utilizando, cuando sea necesario, los pasos del diseño de ingeniería (identificación del problema, exploración, diseño, creación, evaluación y mejora)."
course-1763202331493-vqzde;sc_bg4_2;2.1;"Resolver cuestiones y profundizar en aspectos biológicos y geológicos localizando, seleccionando, organizando y analizando críticamente la información de distintas fuentes y citándolas con respeto por la propiedad intelectual."
course-1763202331493-vqzde;sc_bg4_2;2.2;"Contrastar la veracidad de la información sobre temas biológicos y geológicos o trabajos científicos, utilizando fuentes fiables y adoptando una actitud crítica y escéptica hacia informaciones sin una base científica como pseudociencias, teorías conspiratorias, creencias infundadas, bulos, etc."
course-1763202331493-vqzde;sc_bg4_2;2.3;"Valorar la contribución de la ciencia a la sociedad y la labor de las personas dedicadas a ella, destacando el papel de la mujer y entendiendo la investigación como una labor colectiva e interdisciplinar en constante evolución influida por el contexto político y los recursos económicos."
course-1763202331493-vqzde;sc_bg4_3;3.1;"Plantear preguntas e hipótesis que puedan ser respondidas o contrastadas utilizando métodos científicos, en la explicación de fenómenos biológicos y geológicos y la realización de predicciones sobre estos."
course-1763202331493-vqzde;sc_bg4_3;3.2;"Diseñar la experimentación, la toma de datos y el análisis de fenómenos biológicos y geológicos de modo que permitan responder a preguntas concretas y contrastar una hipótesis planteada evitando sesgos."
course-1763202331493-vqzde;sc_bg4_3;3.3;"Realizar experimentos y tomar datos cuantitativos o cualitativos sobre fenómenos biológicos y geológicos utilizando los instrumentos, herramientas o técnicas adecuadas con corrección y precisión."
course-1763202331493-vqzde;sc_bg4_3;3.4;"Interpretar y analizar los resultados obtenidos en un proyecto de investigación utilizando, cuando sea necesario, herramientas matemáticas y tecnológicas y obteniendo conclusiones razonadas y fundamentadas o valorar la imposibilidad de hacerlo."
course-1763202331493-vqzde;sc_bg4_3;3.5;"Cooperar y colaborar en las distintas fases de un proyecto científico para trabajar con mayor eficiencia, valorando la importancia de la cooperación en la investigación, respetando la diversidad y la igualdad de género, y favoreciendo la inclusión."
course-1763202331493-vqzde;sc_bg4_4;4.1;"Resolver problemas o dar explicación a procesos biológicos o geológicos utilizando conocimientos, datos e información proporcionados por la persona docente, el razonamiento lógico, el pensamiento computacional o recursos digitales."
course-1763202331493-vqzde;sc_bg4_4;4.2;"Analizar críticamente la solución a un problema sobre fenómenos biológicos y geológicos, cambiando los procedimientos utilizados o las conclusiones si dicha solución no fuese viable o ante nuevos datos aportados con posterioridad."
course-1763202331493-vqzde;sc_bg4_5;5.1;"Identificar los posibles riesgos naturales potenciados por determinadas acciones humanas sobre una zona geográfica, teniendo en cuenta sus características litológicas, relieve, vegetación y factores socioeconómicos."
course-1763202331493-vqzde;sc_bg4_6;6.1;"Deducir y explicar la historia geológica de un relieve identificando sus elementos más relevantes a partir de cortes, mapas u otros sistemas de información geológica y utilizando el razonamiento, los principios geológicos básicos (horizontalidad, superposición, actualismo, etc.) y las teorías geológicas más relevantes."
